Start,End,Date Time,Survey Location,Include National,,Community,Rurality,Expert Type,Expert Type.other,Gender,Expert Title,Name of Organization,Type.Human Rights,Type.Sexual and Gender Based Violence,Type.Health and Reproductive Rights,Type.Land,Type.Economic and Financial Services,Type.Agriculture,Type.Education,Type.Local Community Participation,Type.Other,Type.NA,Type.Describe Other,WInfo.To be Treated Equally with All Others,Winfo.To be Free from Violence,WInfo.To be able to Join Groups,Winfo.Right to go Court if any Rights are Violated,Winfo.Right to Education,Winfo.Right_ to Own Property,Winfo.Right to Information,Winfo.Right to Work under Reasonable Hours,"Seminal:Same F,E,RoS as men?",Seminal.Explain,Women Interested in Information,Women Interested in Information.why,Women Interested National Gov,Women Interested National Gov.why,Women Interested Local Gov,Women Interested Local Gov.why,Info.National Government Office,Info.Local Government Office,Info.Local/Community NGOs,Info.Educational Institutions,Info.Places of Worship/Religious,Info.Traditional Leaders,Info.Village Elders,Info.Husband,Info.Other Family Members,Info.Friends,Info.Radio,Info.Television,Info.Newspaper,Info.Town Crier,Info.Internet/Cell Phone,Info.Other,Info.OtherExplain,Issue.Don't Know Where to Ask,Issue.Fear of Asking,Issue.Domestic Duties,Issue.Getting to Public Offices (Distance),Issue.Family Nonsupportive,Issue.Confidence,Issue.Mindset of Gov Offical,Issue.Illiteracy,Issue.Women Ignored in Public,Issue.Language,Issue.Culturally Not Allowed,Issue.Safety Concerns,Issue.Information not Important to Women,Issue.Women Not Allowed in Public,Issue.Other,Issue.Other Explain ,Original Barrier 1,Barrier 1,Original Barrier 2,Barrier 2,Original Barrier 3,Barrier 3,Possible Solutions,"Consequence of less awareness for women
",How Important.Rights,Rights.Freedom from Violence,Rights./Property Ownership/Land Rights,Rights.How the Justice System Works,Rights.Labor Law/Rights,Rights.Public Participation,Rights.Education,Rights.Marital.Family Rights,Rights.Health and Reproductive Rights,Rights.Freedom of Expression,Rights.Right to Information,Rights.Social Services,Rights.Anti-Discrimination,Rights.Please Explain,How important.Econ,Econ.Access to Banks,Econ.Vocational Training,Econ.Technology Training,Econ.Educational Opportunities,Econ.Job Opportunities,Econ.Land/Property Ownership,Econ.Scholarships,Econ.How to Start a Buisness,Econ.How to Get a Trade License,Econ.Social Development Funds,Econ.Please Explain,Original Most Important,Most Important,Original Second Most Important,Second Most Important,Original Third Most Important,Third Most Important,Anything Else,Enumerator Notes,Other Thoughts,__version__,meta/instanceID,_id,_uuid,_submission_time,_date_modified,_tags
2023-02-10T11:36:47.502Z,2023-03-02T12:59:38.021Z,2023-02-10T11:51:00.000Z,Freetown,0,0.397574172,New England Ville,Urban,Government Official,n/a,Male,Assistant Secretary,Ministry of Labour and Social Security,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Administration,Very,Very,Very,Very,Very,Very,Very,Very,Yes,"Although women form the minority of workers in our Ministry , they are Government employee just like all the men and as such have access to government held information",Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Don't Know,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Small Barrier,Not a Barrier,Not a Barrier,n/a,"Illiteracy, Language , Domestic Duties","Illiteracy: Majority of our people are illiterate to which women constitute huge chunk of that number. In this respect, women who are illiterate don't know channel to access information",Illiteracy,"Language: Since most of these information are documented in English , most women cannot understand these information owing to illiteracy",Language,Women are seen more as  people who should engage in domestic to upkeep the home and as a result they are not bother to access information or their domestic duties far outweigh their quest to access the necessary information,Domestic Duties,Continue access to free quality education for women,It will result in recurrence of issues women face in the Country,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All aforementioned are important for women to access information,Very Important,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Women need the above to compete against men who are at an advantage position for the little available economic resources,Education Opportunities: This remain the most important because women constitute the majority of illiterate in the country,Education,Vocational Training,Vocational Training,Land Property Ownership,Land/Property Ownership,n/a,"Some of the people in the ministry refused to give their names,",n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:73dafbd6-d97e-42c3-bfdd-46dbe23447a5,110048554,73dafbd6-d97e-42c3-bfdd-46dbe23447a5,2023-03-02T13:10:25,2023-03-02T13:10:25,
2023-02-09T13:03:06.428Z,2023-03-02T12:42:17.490Z,2023-02-07T09:40:00.000Z,Freetown,0,0.412006984,Brookfields,Urban,Government Official,n/a,Male,Land guard,Ministry of Lands Housing and country planning,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Very,Somewhat,Very,Yes,In fact women are given more priority in certain offices than men,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,Ignorance,Yes,Confidence to ask Government for information,Confidence,Illiteracy,Illiteracy,Language of documents,Language,"Confidence building in women, education at all level, and translation of documents in all local languages.",Less women in Nation building and development.,Very Important,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"With them, women's rights can be promoted and protected.",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They are all means of women being economically viable.,Job opportunities,Job Opportunities,How to start a business/ SME,How to Start a Buisness,Social development funds.,Social Development Funds,"Actually this is my first time of hearing about women access information, so I really want to appreciate you for such a venture.",Women accessing information should be a public campaign including men.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:de49ec24-aa93-465e-910c-4380ed8de773,110048544,de49ec24-aa93-465e-910c-4380ed8de773,2023-03-02T13:09:59,2023-03-02T13:09:59,
2023-02-01T10:37:45.506Z,2023-02-08T15:36:09.008Z,2023-02-01T10:57:00.000Z,Freetown,0,0.545033661,Congo Cross,Urban,Media,n/a,Male,Editor,NewsWatch newspaper,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Media,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,No,Women want info but don't know where to go,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,n/a,"Illiteracy, culture, access",Illiteracy,Illiteracy,Family,Family Nonsupportive,Access mobility,Getting to Public Offices (Distance),Education,Ignorance,Very Important,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very Important,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Creative approaches and more opportunities for making money,Education,Education,Skills,Vocational Training,Access,Access to Banks,Basic questions information should be available,n/a,http://classic.ona.io/api/v1/files/31764142?filename=michaelbaldassaro/attachments/720084_aKXWSpuwTmYxaVQARavGZr/1675540179205.m4a,vzDogTF4K4rZB6rUJRhmkz,uuid:9f60189e-e4b8-4ac1-822c-01bf8d1e790e,109416410,9f60189e-e4b8-4ac1-822c-01bf8d1e790e,2023-02-16T18:48:50,2023-02-16T18:48:50,
2023-01-26T12:08:41.034Z,2023-01-26T16:40:51.599Z,2023-01-26T16:57:00.000Z,Freetown,0,0.55406794,Freetown ,Rural,Media,n/a,Female,Reporter,Concord times communication,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Not at all,Very,Very,No,There is a lot of gender discrimination in various sector women right to access Information is limited men have more preference to information than woman,No,Because I don't have the know how,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Not a Barrier,Male dominant in society stereotypes believe,Lack of education discrimination stereotypes,Discrimination,Women Ignored in Public,Stereotypes,Other,Lack of education,Illiteracy,Community engagement media engagement,They will not be able to know there right as women,Very Important,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Because with education women will have knowledge in all of the above mentioned,Very Important,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Access to bank loan,Quality education skills training,Vocational Training,Skills training,Vocational Training,Community engagement,Public Participation,Woman are be deprived,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:e5f14c9e-d909-45c9-8c9e-69bbaed3c744,108585554,e5f14c9e-d909-45c9-8c9e-69bbaed3c744,2023-01-26T21:32:59,2023-01-26T21:32:59,
2023-02-09T10:23:24.490Z,2023-03-02T11:45:43.945Z,2023-02-09T14:20:00.000Z,Freetown,0,0.564564801,Brookfields,Urban,Government Official,n/a,Female,Extension Officer,Ministry of Agriculture and Forestry,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Yes,"Most information is first obtained from women, especially on Social media.",Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,No other ,Of course yes,Illiteracy,Illiteracy,Don't know where to go for information ,Don't Know Where to Ask,Domestic Duties ,Domestic Duties,Educating them about their rights and responsibilities.,More crime rate especially relating to sexual base violence and abuse of right.,Important,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,They are necessary,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They are all necessary in achieving greater economic empowerment for women.,Educational opportunities,Education,Access to Banks,Access to Banks,Social development funds,Social Development Funds,Not at all,"Fear of giving out personal information, especially the name and phone number.",n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:85fc1908-606f-4aeb-9bdc-0a0ce73527c7,110046367,85fc1908-606f-4aeb-9bdc-0a0ce73527c7,2023-03-02T12:39:18,2023-03-02T12:39:18,
2023-02-09T13:02:04.527Z,2023-03-02T12:41:41.886Z,2023-02-09T11:29:00.000Z,Freetown,0,0.567438957,Brookfield,Urban,Government Official,n/a,Female,Monitoring and Evaluation Officer,Ministry of Agriculture and Forestry,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Because of the level of education,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Not a Barrier,Discrimination- large barrier,Yes,Illiteracy,Illiteracy,Discrimination,Culturally Not Allowed,Self esteem,Confidence,"Provision of educational opportunities, avoid discriminating women, and building of confidence in women.",Lack of education on how important is information for women.,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Because they are all important,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Because if a woman get all of the above, she will help to develop herself, her family, her community and the nation as a whole.",Education,Education,Access to Bank,Access to Banks,Vocational training,Vocational Training,Nothing more,The respondent was confident in giving the information but lack of confidence and trust in giving her name and phone number.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:f09e1e06-8311-4d63-8345-18feb74a56e2,110048534,f09e1e06-8311-4d63-8345-18feb74a56e2,2023-03-02T13:09:52,2023-03-02T13:09:52,
2023-01-20T12:37:34.012Z,2023-01-20T12:52:47.009Z,2023-01-20T13:17:00.000Z,Freetown,0,0.604147413,The ministry of health ,Rural,Government Official,n/a,Male,Manager ,MIB,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Very,Not at all,Very,n/a,Somewhat,Not at all,Very,No,Women are not coming for information ,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Small Barrier,Small Barrier,Not a Barrier,Small Barrier,Not a Barrier,Small Barrier,Small Barrier,Small Barrier,Don't Know,Small Barrier,Small Barrier,Small Barrier,Don't Know,Small Barrier,Educational barrier ,Is serous barrier ,Big,n/a,n/a,n/a,n/a,n/a,More women need to read ,The government officials are not friendly ,Important,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,That willake them informed,Very Important,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,That enables then to understand ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:96d46ee4-6aec-4da8-84bb-8fcbcee5210d,108585553,96d46ee4-6aec-4da8-84bb-8fcbcee5210d,2023-01-26T21:32:59,2023-01-26T21:32:59,
2023-02-09T12:02:44.891Z,2023-03-02T12:32:41.894Z,2023-02-09T13:37:00.000Z,Freetown,0,0.614060621,Brookfields,Urban,Government Official,n/a,Male,Extension Officer,Ministry of Agriculture and Forestry,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,"Their level of education, tradition and culture and their role in the house cannot allow them to access at the same success as man.",Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,n/a,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Not a Barrier,Large Barrier,Not a Barrier,Not a Barrier,Large Barrier,Not a Barrier,n/a,Yes,Illiteracy,Illiteracy,Tradition and culture,Culturally Not Allowed,Domestic Duties,Domestic Duties,"Education for women, Empowerment.",Low level of development for women and the economy as a whole.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Because women needs all of them to increase on their knowledge to become productive.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Because women needs finance, knowledge, jobs etc that they can be productive in the society.",Education,Education,Access to vocational training,Access to Banks,Access to Banks,Access to Banks,No,Much is needed to also educate men on the rights of women in accessing information.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:f63b608a-f2bb-48fa-81dc-91775dfe58e9,110046379,f63b608a-f2bb-48fa-81dc-91775dfe58e9,2023-03-02T12:39:25,2023-03-02T12:39:25,
2023-02-10T12:30:40.657Z,2023-03-02T13:05:00.156Z,2023-02-13T12:30:00.000Z,Freetown,0,0.626029771,New England Ville,Urban,Government Official,n/a,Female,Media,Ministry of Labour and Social Security,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Because they lack the confidence to ask and seek for information.,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,All mentioned,Yes,Confidence to ask Government for information,Confidence,Illiteracy,Illiteracy,Language of documents,Language,"Women should be motivated and inspired to develop confidence to ask Government for information. Also, adult education programs should be arranged/organized for all women. Documents should be made available and translated into different languages including local languages.",Less women in governance and development would be experienced.,Very Important,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,The selected deals with every aspect that ensures that women's rights are protected.,Very Important,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"With this, they will become economically viable and be self independent.",Access to Banks/loans,Access to Banks,How to start a business,How to Start a Buisness,How to get a trade license.,How to Get a Trade License,Women access to information is very important in ensuring their rights.,Lack of confidence and trust in giving name and phone number.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:ef59275d-ce57-4495-ad04-fab5c87059c3,110048571,ef59275d-ce57-4495-ad04-fab5c87059c3,2023-03-02T13:10:45,2023-03-02T13:10:45,
2023-02-09T11:31:48.732Z,2023-03-02T12:10:13.653Z,2023-02-09T12:48:00.000Z,Freetown,0,0.688370623,Brookfields,Urban,Government Official,n/a,Male,Trade officer,Ministry of Trade and Industry,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Yes,"Reason being that, since we have a website where all information is stored, each and everyone of us has access to information meant for all staff which you can check and get information, with this which I believe other agencies are also doing, women can access information as men.",Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Not a Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,n/a,Yes,Someone in the family not supportive,Family Nonsupportive,Illiteracy,Illiteracy,Cultural not appropriate ,Culturally Not Allowed,"There should be a government intervention to see how best scholarships are given to women to educate themselves. Also, there should be equal opportunities for both gender in order to accept one's culture.","Basically when women are not given the opportunity to access information in any organization, it causes discrimination.",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"All of them are valuable. But in summary, it is very important for women to be free from violence as it develops their mental stability.",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"All the information selected above make huge contribution if women are given the opportunities. In the area of Bank loans, it helps women to start doing business for them selves.",Access to bank loans,Access to Banks,Educational opportunities,Education,Social development funds,Social Development Funds,"Women should be part and have the right to all decision-making. Being the wife at home responsible for all household choices, deserves every right to have access to information.","The respondent was ready to give out information, though some were unable to respond to as we went along.",n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:aa2f8f64-211d-4923-aa60-49d3d6d5544c,110046370,aa2f8f64-211d-4923-aa60-49d3d6d5544c,2023-03-02T12:39:20,2023-03-02T12:39:20,
2023-02-10T12:22:39.350Z,2023-03-02T13:03:06.704Z,2023-02-10T13:43:00.000Z,Freetown,0,0.695718244,New England Ville,Urban,Government Official,n/a,Male,Human Resource officer,Ministry of Labor ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Labour administration,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,This is due to the perception people have about women.,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,n/a,Large Barrier,Small Barrier,Not a Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Not a Barrier,Large Barrier,Not a Barrier,Small Barrier,Not a Barrier,Not a Barrier,No other,Yes,Don't know how or where to go for information,Don't Know Where to Ask,Mindset of government officials,Mindset of Gov Offical,Language of documents,Language,"Enforcement of the right to access information, awareness on the importance of accessing information by women.",Illiteracy,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,It will aid women to realize their full potential as well as know the societal do and don't.,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They all help empower women.,Access to Banks/Loans,Access to Banks,Social development funds,Scholarships,How to start a business.,How to Start a Buisness,No,"Confident and brief in responding, though confidence was also lacking in giving personal information from some respondents including this one from this ministry.",n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:6d39ddeb-1470-40a9-83cc-e9972641386b,110048556,6d39ddeb-1470-40a9-83cc-e9972641386b,2023-03-02T13:10:28,2023-03-02T13:10:28,
2023-02-08T13:28:26.441Z,2023-03-02T11:05:43.028Z,2023-02-08T13:48:00.000Z,Freetown,0,0.734820658,Brookfields,Urban,Government Official,n/a,Female,Civil Servant,Ministry of Lands Housing and Country Planning,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Communication,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,No,Women are mostly kept at back seats,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,No,Yes,Language of the document ,Language,Domestic Duties ,Domestic Duties,Safety concerns ,Safety Concerns,Creating equal rights between men and women,The society will head for doom.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,This would help women gain confidence in society,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,This would help breed independent women,Land and property ownership,Property Ownership/Land ,Job opportunities,Job Opportunities,Scholarships,Scholarships,Women accessing information play a vital role in ensuring that they know their rights.,The interview was very challenging as the PRO was busy responding to staff.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:06c2fadd-7440-4083-9d4c-0de9c2fec7e2,110046364,06c2fadd-7440-4083-9d4c-0de9c2fec7e2,2023-03-02T12:39:17,2023-03-02T12:39:17,
2023-02-07T12:21:58.546Z,2023-03-02T10:41:33.562Z,2023-02-07T13:22:00.000Z,Freetown,1,0.73641882,Brookfields,Urban,Government Official,n/a,Male,Land Guard,Ministry of Lands Housing and country planning,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Yes,"Most offices give more priority to women than men, they always tell u ladies should be treated well, they are our mothers.",Yes,n/a,Yes,n/a,No,Not all women are interested,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,No other barrier ,No,Illiteracy ,Illiteracy,Language of documents ,Language,Domestic Duties ,Domestic Duties,Accessing information should be of interest to all women. They should schedule themselves to be able to access information and also take education important.,Discrimination ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They all promote the right of women.,Very Important,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,They all help in economic empowerment.,Access to Banks,Access to Banks,Job opportunities ,Job Opportunities,How to start a business ,How to Start a Buisness,"I don't have much to say, women should be encouraged and also interested to access information.",It was challenging during this interview.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:5768a092-cc39-4277-95b4-e84f6e0c443a,110046361,5768a092-cc39-4277-95b4-e84f6e0c443a,2023-03-02T12:39:15,2023-03-02T12:39:15,
